DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
C4DAC	4D CT Angiography cerebrum	911841000000108	Four dimensional computed tomography angiography of cerebrum (procedure)	U11.4	Computed tomography scan of cerebral vessels							Y98.1	Radiology of one body area (or < 20 minutes)																	
CAAAG	CT Angiogram aorta	305053005	Computed tomography of aorta (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z34.9	Aorta NEC											
CAABDO	CT Angiogram abdomen	448443000	Computed tomography angiography of abdominal artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.6	Abdomen NEC											
CAABVO	CT Angiogram abdominal wall vessels	700505008	Computed tomography angiography of vessels of abdominal wall (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z53.8	Specified abdominal wall NEC											
CAAMBC	CT IAM with air contrast	824721000000105	Computed tomography of internal auditory meatus with air contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z21.8	Specified part of ear NEC											
CABAO	CT Aorta abdominal	241553009	Computed tomography of abdominal aorta (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z34.7	Abdominal aorta NEC											
CABAOC	CT Aorta abdominal with contrast	444968003	Computed tomography of abdominal aorta with contrast (procedure)	U35.5	Computed tomography angiography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z34.7	Abdominal aorta NEC											
CABDO	CT Abdomen	169070004	Computed tomography of abdomen (procedure)	U08.1	Computed tomography of abdomen NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CABDOB	CT Guided biopsy abdomen	419940006	Computed tomography and biopsy of abdomen (procedure)	T43.2	Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC							Y53.3	Approach to organ under computed tomography scan control																	
CABDOC	CT Abdomen with contrast	32962002	Computerized tomography of abdomen with contrast (procedure)	U08.1	Computed tomography of abdomen NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CABDOD	CT Guided drainage abdomen	418199004	Computed tomography and drainage of abdomen (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CABDON	CT Guided aspiration abdomen	439087006	Percutaneous aspiration of abdomen using computed tomography guidance (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CABDP	CT Abdomen perfusion study	448676009	Computed tomography perfusion study of abdomen (procedure)	U08.1	Computed tomography of abdomen NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
CABLTA	CT Guided ablation	430269006	Ablation using computed tomography guidance (procedure)	#HLT																										
CABPE	CT Abdomen and pelvis	419394006	Computed tomography of abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CABPEC	CT Abdomen and pelvis with contrast	432370003	Computed tomography of abdomen and pelvis with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CACDB	CT Angio aortic arch and carotid Both	420017001	Computed tomography angiography of aortic arch and carotid arteries (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z34.2	Aortic arch	Z36.1	Carotid artery NEC									
CACJB	CT Acromioclavicular joint Both	417973009	Computed tomography of acromioclavicular joint (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.2	Acromioclavicular joint											
CACJL	CT Acromioclavicular joint Lt	417973009	Computed tomography of acromioclavicular joint (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.2	Acromioclavicular joint											
CACJR	CT Acromioclavicular joint Rt	417973009	Computed tomography of acromioclavicular joint (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.2	Acromioclavicular joint											
CACRY	CT Cardiac angiogram coronary	419545005	Computed tomography angiography of coronary arteries (procedure)	U10.2	Cardiac computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z33.4	Coronary artery											
CADPD	DECT Abdomen and pelvis	721042009	Dual energy computed tomography of abdomen and pelvis (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z92.6	Abdomen NEC									O16.1	Pelvis NEC	
CADRB	CT Adrenal Both	241550007	Computed tomography of adrenals (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z14.4	Adrenal gland											
CADRBC	CT Adrenal with contrast Both	430430003	Computed tomography of adrenal gland with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z14.4	Adrenal gland											
CAICN	CT Angiogram intracranial	419949007	Computed tomography angiography of intracranial artery (procedure)	U11.4	Computed tomography scan of cerebral vessels							Y98.1	Radiology of one body area (or < 20 minutes)					Z35.9	Cerebral artery NEC											
CALLB	CT Angiogram lower limb Both	419089004	Computed tomography angiography of lower limb artery (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.9	Leg region NEC											
CALLL	CT Angiogram lower limb Lt	419089004	Computed tomography angiography of lower limb artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CALLR	CT Angiogram lower limb Rt	419089004	Computed tomography angiography of lower limb artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
CAMES	CT Angiogram mesenteric artery	709553001	Computed tomography angiography of mesenteric artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z37.8	Specified lateral branch of abdominal aorta NEC											
CANBB	CT Angiogram bronchial artery Both	726077005	Computed tomography arteriography of bronchial artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z95.2	Bronchial artery											
CANBL	CT Angiogram bronchial artery Left	726077005	Computed tomography arteriography of bronchial artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z95.2	Bronchial artery											
CANBR	CT Angiogram bronchial artery Right	726077005	Computed tomography arteriography of bronchial artery (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)					Z95.2	Bronchial artery											
