ID	SCT_ID	SCT_FSN	Laterality_ID	Laterality	Short_Code	Multi_Factor	Status	Deprecate_Reason	Diagnostic	Interventional	Substitute	Preferred	Synonym1	Synonym2	Synonym3
1	193461000000107	CT angiography of aorta			CAAAG		I	S	Y	N	CAAAG	CT Angiogram Aorta	Aortogram CT Angio		
2	419462002	CT angiography of aorta			CAAAG	1	I	X	Y	N	CAAAG	CT Angiogram aorta	Aortogram CT Angio	CT Aortogram	
3	241521000	CT of Internal auditory meatus			CAAMBC	1	I	X	Y	N	CAAMBC	CT IAM with air contrast	IAM CT with air contrast		
4	169070004	CT of abdomen			CABDC		I	L	Y	N	CABDOC	CT Abdomen with contrast			
5	169070004	Computed tomography of abdomen (procedure)			CABDO	1	A		Y	N		CT Abdomen	Abdomen CT		
6	183041000000102	CT and biopsy of abdomen			CABDOB		I	S	Y	N	CABDOB	CT Abdomen and Biopsy	Biopsy Abdomen CT Guided	Abdomen Biopsy CT	
7	419940006	Computed tomography and biopsy of abdomen (procedure)			CABDOB	1	A		Y	N		CT Guided biopsy abdomen	Abdomen biopsy CT guided	Biopsy abdomen CT guided	
8	169070004	CT of abdomen			CABDOC	1	I	X	Y	N	CABDOC	CT Abdomen with contrast	Abdomen CT with contrast		
9	183051000000104	CT and drainage of abdomen			CABDOD		I	S	N	Y	CABDOD	CT Abdomen and Drainage	Abdomen Drainage CT Guided	Drainage abdomen CT	
10	418199004	Computed tomography and drainage of abdomen (procedure)			CABDOD	1	A		N	Y		CT Guided drainage abdomen	Abdomen drainage CT guided	Drainage abdomen CT guided	
11	183031000000106	CT and aspiration of abdomen			CABDON		I	S	Y	Y	CABDON	CT Abdomen and Aspiration	Abdomen Aspiration  CT Guided	Aspiration abdomen CT	
12	420230009	CT and aspiration of abdomen			CABDON	1	I	X	N	Y	CABDON	CT Guided aspiration abdomen	Abdomen aspiration CT guided	Aspiration abdomen CT guided	
13	193631000000100	CT and biopsy of upper abdomen 			CABDUB		I	I	Y	N	CABDOB	CT Guided Biopsy Upper Abdomen	Abdomen (Upper) Biopsy CT Guided	Biopsy Abdomen (Upper) CT Guided	Upper Abdomen Biopsy CT Guided
14	193621000000102	CT and aspiration of upper abdomen			CABDUN		I	I	N	Y	CABDON	CT Guided Aspiration Upper Abdomen	Abdomen (Upper) Aspiration CT Guided	Aspiration Abdomen (Upper) CT Guided	Upper Abdomen Aspiration CT Guided
15	363680008	radiographic imaging procedure			CABLTA		I	X	N	Y	CABLTA	CT Guided ablation	Ablation CT guided		
16	77477000	Computerised tomography			CABLTA	1	I	X	N	Y	CABLTA	CT Guided ablation	Ablation CT guided		
17	183881000000104	CT of abdomen and pelvis			CABPC		I	S	Y	N	CABPEC	CT Abdomen/Pelvis With Contrast			
18	419394006	Computed tomography of abdomen and pelvis (procedure)			CABPE	2	A		Y	N		CT Abdomen and pelvis	Abdomen and pelvis CT	Pelvis and abdomen CT	
19	183881000000104	CT of abdomen and pelvis			CABPE		I	S	Y	N	CABPE	CT Abdomen and Pelvis	Abdomen Pelvis CT 	Pelvis Abdomen CT	
20	419394006	CT of abdomen and pelvis			CABPEC	2	I	X	Y	N	CABPEC	CT Abdomen & pelvis with contrast	Abdomen & pelvis CT with contrast		
